,Solution,Rows,Cols,Threads,Time (s),Speedup,Efficiency
107,Parallel,60,100000,6.0,111.66204,5.80004909457144,0.96667484909524
108,Thread Pool API,60,100000,6.0,112.362704,5.763881527806594,0.960646921301099
109,Parallel,60,100000,8.0,124.377702,5.207085382555146,0.6508856728193932
110,Thread Pool API,60,100000,8.0,112.090625,5.777872270763054,0.7222340338453818
111,Parallel,60,100000,12.0,103.242173,6.273069378344061,0.5227557815286717
112,Thread Pool API,60,100000,12.0,103.326345,6.267959192788634,0.5223299327323861
113,Parallel,60,100000,16.0,104.198053,6.215522222857657,0.38847013892860355
114,Thread Pool API,60,100000,16.0,103.583873,6.252375927283584,0.390773495455224
115,Parallel,60,100000,24.0,103.670915,6.247126438500133,0.26029693493750555
116,Thread Pool API,60,100000,24.0,103.624078,6.2499500743446905,0.26041458643102877
117,Parallel,60,100000,36.0,103.877454,6.234705309585273,0.17318625859959091
118,Thread Pool API,60,100000,36.0,103.497352,6.257602745237385,0.17382229847881625
119,Sequential,70,100000,,755.197947,1.0,1.0
120,Parallel,70,100000,2.0,379.51603,1.9898973621746623,0.9949486810873311
121,Thread Pool API,70,100000,2.0,380.149485,1.9865815338405626,0.9932907669202813
122,Parallel,70,100000,4.0,197.268978,3.828265116271855,0.9570662790679637
123,Thread Pool API,70,100000,4.0,197.376666,3.826176428575402,0.9565441071438505
124,Parallel,70,100000,6.0,133.844528,5.642352050432723,0.9403920084054538
125,Thread Pool API,70,100000,6.0,134.1935,5.6276790381054225,0.9379465063509037
126,Parallel,70,100000,8.0,146.588252,5.1518313145585495,0.6439789143198187
127,Thread Pool API,70,100000,8.0,133.68696,5.64900231855074,0.7061252898188425
128,Parallel,70,100000,12.0,121.642356,6.2083469264603846,0.5173622438716987
129,Thread Pool API,70,100000,12.0,121.912566,6.194586594133373,0.5162155495111144
130,Parallel,70,100000,16.0,121.852964,6.197616555310054,0.38735103470687837
131,Thread Pool API,70,100000,16.0,121.880422,6.1962203166641485,0.3872637697915093
132,Parallel,70,100000,24.0,121.045838,6.23894187092992,0.2599559112887467
133,Thread Pool API,70,100000,24.0,121.72225,6.204271996286628,0.25851133317860947
134,Parallel,70,100000,36.0,120.952073,6.243778450990253,0.1734382903052848
135,Thread Pool API,70,100000,36.0,121.063812,6.23801559296679,0.17327821091574416
136,Sequential,80,100000,,863.0281,1.0,1.0
137,Parallel,80,100000,2.0,433.938331,1.9888266104798196,0.9944133052399098
138,Thread Pool API,80,100000,2.0,434.609676,1.9857544543025776,0.9928772271512888
139,Parallel,80,100000,4.0,219.253624,3.936209054405413,0.9840522636013532
140,Thread Pool API,80,100000,4.0,219.86193,3.925318494202248,0.981329623550562
141,Parallel,80,100000,6.0,156.227113,5.524189005528124,0.9206981675880207
142,Thread Pool API,80,100000,6.0,156.282001,5.5222488480935175,0.9203748080155862
143,Parallel,80,100000,8.0,162.049606,5.325703167707794,0.6657128959634743
144,Thread Pool API,80,100000,8.0,146.882932,5.875618686587765,0.7344523358234706
145,Parallel,80,100000,12.0,140.259882,6.1530644949494535,0.5127553745791211
146,Thread Pool API,80,100000,12.0,140.228196,6.154454843018875,0.5128712369182395
147,Parallel,80,100000,16.0,138.343809,6.23828493835962,0.3898928086474763
148,Thread Pool API,80,100000,16.0,138.410776,6.235266681836969,0.3897041676148106
149,Parallel,80,100000,24.0,140.463263,6.144155287066056,0.256006470294419
150,Thread Pool API,80,100000,24.0,140.35346,6.14896205622576,0.25620675234274
151,Parallel,80,100000,36.0,140.77138,6.130707108220435,0.17029741967278988
152,Thread Pool API,80,100000,36.0,140.417653,6.14615101136892,0.17072641698247
153,Sequential,90,100000,,971.656533,1.0,1.0
154,Parallel,90,100000,2.0,488.281468,1.989951691142208,0.994975845571104
155,Thread Pool API,90,100000,2.0,488.632824,1.9885207977759594,0.9942603988879797
156,Parallel,90,100000,4.0,252.225928,3.852326129611861,0.9630815324029652
157,Thread Pool API,90,100000,4.0,252.43752,3.849097127083169,0.9622742817707922
158,Parallel,90,100000,6.0,167.913646,5.7866442433154,0.9644407072192333
159,Thread Pool API,90,100000,6.0,168.569975,5.764113882083686,0.9606856470139477
160,Parallel,90,100000,8.0,189.432295,5.129307719151056,0.641163464893882
161,Thread Pool API,90,100000,8.0,168.701608,5.759616310236948,0.7199520387796186
162,Parallel,90,100000,12.0,155.801932,6.236485777339398,0.5197071481116166
163,Thread Pool API,90,100000,12.0,155.899458,6.232584419889387,0.5193820349907823
164,Parallel,90,100000,16.0,156.400602,6.212613766026297,0.38828836037664355
165,Thread Pool API,90,100000,16.0,156.681106,6.201491410202325,0.38759321313764533
166,Parallel,90,100000,24.0,156.253862,6.218448111061728,0.259102004627572
167,Thread Pool API,90,100000,24.0,155.844669,6.234775557192783,0.25978231488303266
168,Parallel,90,100000,36.0,156.308929,6.2162573770817655,0.17267381603004905
169,Thread Pool API,90,100000,36.0,155.650989,6.242533627589093,0.1734037118774748
170,Sequential,100,100000,,1078.751842,1.0,1.0
171,Parallel,100,100000,2.0,542.396345,1.98886266831315,0.994431334156575
172,Thread Pool API,100,100000,2.0,543.113538,1.9862363327794639,0.9931181663897319
173,Parallel,100,100000,4.0,274.309662,3.9326060705801895,0.9831515176450474
174,Thread Pool API,100,100000,4.0,274.957877,3.9233349259530392,0.9808337314882598
175,Parallel,100,100000,6.0,189.894633,5.680791631430679,0.9467986052384464
176,Thread Pool API,100,100000,6.0,190.459641,5.663939280448396,0.9439898800747327
177,Parallel,100,100000,8.0,206.346507,5.227865776278926,0.6534832220348658
178,Thread Pool API,100,100000,8.0,181.144947,5.955185942890253,0.7443982428612816
179,Parallel,100,100000,12.0,176.440711,6.1139622249651895,0.5094968520804325
180,Thread Pool API,100,100000,12.0,176.277062,6.1196381977366965,0.5099698498113914
181,Parallel,100,100000,16.0,177.094393,6.091394672218673,0.38071216701366706
182,Thread Pool API,100,100000,16.0,175.745021,6.138164460431569,0.38363527877697307
183,Parallel,100,100000,24.0,176.670896,6.1059963266388815,0.2544165136099534
184,Thread Pool API,100,100000,24.0,176.34463,6.117293404397968,0.25488722518324863
185,Parallel,100,100000,36.0,172.925041,6.238262751084153,0.17328507641900426
186,Thread Pool API,100,100000,36.0,172.673236,6.24735985141322,0.17353777365036724
187,Sequential,110,100000,,1187.082646,1.0,1.0
188,Parallel,110,100000,2.0,596.423058,1.9903366076768951,0.9951683038384476
189,Thread Pool API,110,100000,2.0,597.447959,1.9869222550980379,0.9934611275490189
190,Parallel,110,100000,4.0,307.499725,3.8604348215270763,0.9651087053817691
191,Thread Pool API,110,100000,4.0,307.416226,3.861483375311491,0.9653708438278727
192,Parallel,110,100000,6.0,211.997252,5.599519025840958,0.9332531709734929
193,Thread Pool API,110,100000,6.0,212.451968,5.587534242092783,0.9312557070154638
194,Parallel,110,100000,8.0,227.92672,5.20817675961818,0.6510220949522725
195,Thread Pool API,110,100000,8.0,204.118691,5.815648925555769,0.7269561156944712
196,Parallel,110,100000,12.0,196.52557,6.040347044916344,0.5033622537430287
197,Thread Pool API,110,100000,12.0,196.374896,6.044981666088317,0.5037484721740264
198,Parallel,110,100000,16.0,189.781325,6.255002413962491,0.3909376508726557
